time,location,timestamp
1364369588,in[sport-venues],2013-03-27 07:33:08
1364369603,in[sport-venues],2013-03-27 07:33:23
1364369619,in[sport-venues],2013-03-27 07:33:39
1364369634,in[sport-venues],2013-03-27 07:33:54
1364369650,in[sport-venues],2013-03-27 07:34:10
1364369665,in[sport-venues],2013-03-27 07:34:25
1364369681,in[sport-venues],2013-03-27 07:34:41
1364369701,in[sport-venues],2013-03-27 07:35:01
1364369717,in[sport-venues],2013-03-27 07:35:17
1364369733,in[sport-venues],2013-03-27 07:35:33
1364369748,in[sport-venues],2013-03-27 07:35:48
1364369764,in[sport-venues],2013-03-27 07:36:04
1364369779,in[sport-venues],2013-03-27 07:36:19
1364369795,in[sport-venues],2013-03-27 07:36:35
1364369810,in[sport-venues],2013-03-27 07:36:50
1364369826,in[sport-venues],2013-03-27 07:37:06
1364369841,in[sport-venues],2013-03-27 07:37:21
1364369856,in[sport-venues],2013-03-27 07:37:36
1364369872,in[sport-venues],2013-03-27 07:37:52
1364369888,in[sport-venues],2013-03-27 07:38:08
1364369903,in[sport-venues],2013-03-27 07:38:23
1364369919,in[sport-venues],2013-03-27 07:38:39
1364369934,in[sport-venues],2013-03-27 07:38:54
1364369950,in[sport-venues],2013-03-27 07:39:10
1364369965,in[sport-venues],2013-03-27 07:39:25
1364369981,in[sport-venues],2013-03-27 07:39:41
1364370001,in[sport-venues],2013-03-27 07:40:01
1364370017,in[sport-venues],2013-03-27 07:40:17
1364370032,in[sport-venues],2013-03-27 07:40:32
1364370048,in[sport-venues],2013-03-27 07:40:48
1364370070,in[sport-venues],2013-03-27 07:41:10
1364370085,in[sport-venues],2013-03-27 07:41:25
1364370101,in[sport-venues],2013-03-27 07:41:41
1364370116,in[sport-venues],2013-03-27 07:41:56
1364370132,in[sport-venues],2013-03-27 07:42:12
1364370147,in[sport-venues],2013-03-27 07:42:27
1364370163,in[sport-venues],2013-03-27 07:42:43
1364370178,in[sport-venues],2013-03-27 07:42:58
1364370194,in[sport-venues],2013-03-27 07:43:14
1364370209,in[sport-venues],2013-03-27 07:43:29
1364370225,in[sport-venues],2013-03-27 07:43:45
1364370241,in[sport-venues],2013-03-27 07:44:01
1364370256,in[sport-venues],2013-03-27 07:44:16
1364370272,in[sport-venues],2013-03-27 07:44:32
1364370286,in[sport-venues],2013-03-27 07:44:46
1364370301,in[sport-venues],2013-03-27 07:45:01
1364370317,in[sport-venues],2013-03-27 07:45:17
1364370332,in[sport-venues],2013-03-27 07:45:32
1364370348,in[sport-venues],2013-03-27 07:45:48
1364370363,in[sport-venues],2013-03-27 07:46:03
1364370379,in[sport-venues],2013-03-27 07:46:19
1364370394,in[sport-venues],2013-03-27 07:46:34
1364370410,in[sport-venues],2013-03-27 07:46:50
1364370425,in[sport-venues],2013-03-27 07:47:05
1364370441,in[sport-venues],2013-03-27 07:47:21
1364370456,in[sport-venues],2013-03-27 07:47:36
1364370472,in[sport-venues],2013-03-27 07:47:52
1364370487,in[sport-venues],2013-03-27 07:48:07
1364370503,in[sport-venues],2013-03-27 07:48:23
1364370520,in[sport-venues],2013-03-27 07:48:40
1364370535,in[sport-venues],2013-03-27 07:48:55
1364370550,in[sport-venues],2013-03-27 07:49:10
